Job Title,Company,Experience Required,Location,Rating,Salary Disclosure,Min Experience,Max Experience,Min Salary,Max Salary
Data Analyst,sRide,3-8 Yrs,"New Delhi, Pune",4.0,Not Disclosed,3.0,8.0,,
Data Analyst,Gedu Services,3-8 Yrs,New Delhi,3.2,Not Disclosed,3.0,8.0,,
Data Analyst,Confidential,3-8 Yrs,New Delhi,Not Rated,Not Disclosed,3.0,8.0,,
Data Analyst,Gforce Consulting Solutions,3-7 Yrs,New Delhi,4.2,Not Disclosed,3.0,7.0,,
Data Analyst,Crisil,7-10 Yrs,"New Delhi, Pune",3.7,Not Disclosed,7.0,10.0,,
Data Analyst,Symmetrical Global Search,2-4 Yrs,New Delhi,3.3,Not Disclosed,2.0,4.0,,
Data Analyst,VWR International,5-10 Yrs,New Delhi,3.6,Not Disclosed,5.0,10.0,,
Data Analyst,Innovaccer,4-10 Yrs,New Delhi,3.5,Not Disclosed,4.0,10.0,,
Data Analyst,Confidential,7-12 Yrs,,Not Rated,Not Disclosed,7.0,12.0,,
data analyst / data analytics-- US MNC (Analytics),Confidential,2-7 Yrs,"New Delhi, Bangalore",Not Rated,Disclosed,2.0,7.0,15.0,30.0
Data Analyst,Rmsi,1-4 Yrs,New Delhi,3.6,Not Disclosed,1.0,4.0,,
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Lead data analyst / data analytics-- US MNC (Analytics),Confidential,4-9 Yrs,"New Delhi, Bangalore",Not Rated,Disclosed,4.0,9.0,20.0,35.0
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Data Analyst,S&P Global Inc.,2-4 Yrs,New Delhi,4.1,Not Disclosed,2.0,4.0,,
Data Analyst,S&P Global Inc.,2-6 Yrs,New Delhi,4.1,Not Disclosed,2.0,6.0,,
